"№","Команда","И И","В","ВО","ВБ","ПБ","ПО","П","Шайбы","О О","% очков","Форма"
"1","Колорадо Эвеланш","46","30","2","1","4","4","5","185-110","74","80.4",""
"2","Каролина Харрикейнз","49","21","5","4","2","2","15","171-144","64","65.3",""
"3","Даллас Старз","48","23","1","3","3","6","12","162-135","63","65.6",""
"4","Миннесота Уайлд","49","18","6","3","3","6","13","155-140","63","64.3",""
"5","Тампа-Бэй Лайтнинг","46","23","4","2","2","2","13","162-119","62","67.4",""
"6","Детройт Ред Уингз","49","21","6","2","2","2","16","153-150","62","63.3",""
"7","Монреаль Канадиенс","49","17","8","2","4","3","15","168-164","61","62.2",""
"8","Вегас Голден Найтс","47","17","6","1","5","7","11","160-145","60","63.8",""
"9","Бостон Брюинз","49","21","5","2","1","1","19","164-150","58","59.2",""
"10","Баффало Сэйбрз","47","20","3","3","0","5","16","157-148","57","60.6",""
"11","Нью-Йорк Айлендерс","48","17","5","4","5","0","17","141-134","57","59.4",""
"12","Торонто Мэйпл Лифс","48","17","7","0","1","7","16","162-158","56","58.3",""
"13","Эдмонтон Ойлерз","49","19","5","0","3","5","17","165-158","56","57.1",""
"14","Питтсбург Пингвинз","47","18","3","1","7","4","14","150-144","55","58.5",""
"15","Вашингтон Кэпиталз","49","21","3","0","5","1","19","157-143","54","55.1",""
"16","Юта Мамонт","49","19","6","0","0","4","20","153-135","54","55.1",""
"17","Флорида Пантерз","47","22","1","2","1","2","19","145-156","53","56.4",""
"18","Филадельфия Флайерз","47","15","2","5","3","5","17","141-149","52","55.3",""
"19","Сиэтл Кракен","47","15","5","1","4","5","17","130-141","51","54.3",""
"20","Сан-Хосе Шаркс","47","13","9","2","1","2","20","148-168","51","54.3",""
"21","Анахайм Дакс","48","14","5","5","0","3","21","158-172","51","53.1",""
"22","Коламбус Блю Джекетс","48","13","4","5","1","6","19","148-160","51","53.1",""
"23","Лос-Анджелес Кингз","48","12","4","3","6","7","16","125-136","51","53.1",""
"24","Оттава Сенаторз","47","17","2","3","0","6","19","156-159","50","53.2",""
"25","Нью-Джерси Дэвилз","48","16","5","3","0","2","22","127-149","50","52.1",""
"26","Нэшвилл Предаторз","48","16","4","3","0","4","21","138-161","50","52.1",""
"27","Нью-Йорк Рейнджерс","49","14","5","2","0","6","22","132-150","48","49.0",""
"28","Сент-Луис Блюз","48","18","0","1","2","6","21","120-163","46","47.9",""
"29","Калгари Флэймз","48","17","2","2","2","2","23","126-143","46","47.9",""
"30","Чикаго Блэкхоукс","48","15","2","2","3","4","22","133-154","45","46.9",""
"31","Виннипег Джетс","47","17","1","1","1","5","22","144-148","44","46.8",""
"32","Ванкувер Кэнакс","48","10","2","4","1","4","27","126-176","37","38.5",""
